time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
363.1073,14.17333,1.652344,423.7461,0.432,1.656853,1
363.3148,13.17542,1.652344,423.7461,0.5206,1.656853,1
363.5103,15.05932,1.652344,423.7461,0.4873,1.656853,1
363.7178,13.36125,1.652344,423.7461,0.4348,1.656853,1
363.9128,14.0538,1.652344,423.7578,0.3942,1.656853,1
365.1073,14.54495,1.652344,425.1641,0.955,1.661844,2
365.315,13.72646,1.652344,425.1641,0.9444,1.661844,2
365.5102,15.06776,1.652344,425.1641,0.9005,1.661844,2
365.7047,13.73865,1.652344,425.1641,0.859,1.661844,2
365.9131,14.45391,1.652344,425.1641,0.9072,1.661844,2
367.1074,14.78167,1.652344,426.4414,1.302,1.666836,3
367.3146,13.25568,1.652344,426.4414,1.3289,1.666836,3
367.5102,15.68531,1.652344,426.4414,2.1287,1.666836,3
367.7176,13.73625,1.652344,426.4414,1.3535,1.666836,3
367.9123,13.51536,1.652344,426.4414,1.3114,1.666836,3
369.1078,15.05115,1.652344,427.9531,1.9814,1.671827,4
369.315,13.50328,1.652344,427.9297,1.8896,1.671827,4
369.5098,14.78339,1.652344,427.9922,2.0617,1.671827,4
369.7186,14.16349,1.652344,427.9922,1.7336,1.671827,4
369.9128,12.96568,1.652344,427.9727,2.4876,1.671827,4
371.1075,14.99646,1.652344,429.0547,2.3719,1.676819,5
371.3151,14.13198,1.652344,429.0547,2.3059,1.676819,5
371.5099,14.85047,1.652344,429.0547,2.1121,1.676819,5
371.7177,13.13516,1.652344,429.0547,2.2956,1.676819,5
371.913,13.95187,1.652344,429.0547,2.1381,1.676819,5
373.1075,14.75781,1.652344,430.3281,2.5596,1.68181,6
373.3154,14.22448,1.652344,430.3281,2.6309,1.68181,6
373.5103,15.18203,1.652344,430.3281,2.463,1.68181,6
373.7178,13.53963,1.652344,430.3281,2.5654,1.68181,6
373.9121,13.47901,1.652344,430.3281,2.855,1.68181,6
375.1073,14.77693,1.652344,432.0195,2.8653,1.686802,7
375.3148,13.43865,1.652344,432.0195,3.1031,1.686802,7
375.5114,16.55323,1.652344,432.0195,3.254,1.686802,7
375.7049,14.30271,1.652344,432.0195,3.1594,1.686802,7
375.9129,13.93755,1.652344,432.0195,3.2707,1.686802,7
377.1075,14.91859,1.414063,433.0938,3.8836,1.691793,8
377.3158,14.46781,1.414063,433.1992,3.7212,1.691793,8
377.51,14.42219,1.414063,433.1914,3.4086,1.691793,8
377.7193,14.92219,1.414063,433.2852,3.9093,1.691793,8
377.9127,13.96901,1.414063,433.2539,3.6746,1.691793,8
379.1083,15.71443,1.414063,434.4961,4.5172,1.696785,9
379.315,13.0312,1.414063,434.4961,3.826,1.696785,9
379.5101,15.06984,1.414063,434.4961,3.7747,1.696785,9
379.7047,14.44344,1.414063,434.4961,4.021,1.696785,9
379.9123,14.14995,1.414063,434.4961,3.9002,1.696785,9
381.1075,15.02021,1.414063,436.0703,4.2408,1.701777,10
381.3148,13.45391,1.414063,436.0703,4.3474,1.701777,10
381.5103,15.35182,1.414063,436.0703,4.2485,1.701777,10
381.7185,14.30188,1.414063,436.0703,4.299,1.701777,10
381.9125,13.74833,1.414063,436.0703,4.1781,1.701777,10
